ülke,2015,2016,2017,2018,2019
Afghanistan,95,95,94,95,93
Albania,44,45,48,43,42
Algeria,78,77,78,73,73
Andorra,20,18,18,14,14
Angola,81,81,77,78,74
Antigua and Barbuda,26,26,28,27,24
Argentina,16,15,16,12,12
Armenia,66,66,69,65,63
Australia,8,6,6,7,6
Austria,4,5,4,4,3
Azerbaijan,64,63,65,62,60
Bahamas,23,22,23,21,19
Bahrain,56,54,55,52,49
Bangladesh,88,89,88,88,85
Barbados,22,21,21,17,17
Belarus,60,57,60,56,53
Belgium,3,4,4,4,4
Belize,49,49,52,47,46
Benin,69,69,69,70,70
Bhutan,76,76,75,72,71
Bolivia,61,57,60,56,54
Bosnia and Herzegovina,43,44,47,41,40
Botswana,59,56,58,58,55
Brazil,17,12,15,12,12
Brunei,21,20,20,17,15
Bulgaria,14,14,14,9,10
Burkina Faso,73,72,72,72,71
Burundi,83,82,80,80,81
Cambodia,75,75,76,74,70
Cameroon,81,81,80,82,82
Canada,6,6,5,4,4
Cape Verde,65,61,65,64,64
Central African Republic,79,80,80,80,82
Chad,77,76,77,79,79
Chile,18,17,16,12,11
China,71,67,65,60,59
Colombia,40,39,42,35,32
Comoros,78,77,75,75,75
Congo,82,81,81,83,84
Congo (Dem. Rep.),86,85,83,85,85
Costa Rica,29,28,30,25,20
Cote d'Ivoire (Ivory Coast),70,70,71,71,71
Croatia,17,14,14,11,10
Cuba,65,64,66,62,61
Cyprus,12,12,13,10,8
Czech Republic,7,8,7,5,6
Denmark,3,4,3,3,3
Djibouti,83,84,81,81,81
Dominica,36,34,36,33,31
Dominican Republic,74,72,65,63,62
Ecuador,54,52,53,47,46
Egypt,76,75,76,76,75
El Salvador,38,35,38,34,34
Equatorial Guinea,80,81,78,77,78
Eritrea,87,88,86,87,88
Estonia,12,11,11,8,7
Eswatini,61,60,61,60,58
Ethiopia,90,90,85,87,85
Fiji,52,53,53,49,47
Finland,2,3,3,3,2
France,2,3,3,3,4
Gabon,76,76,73,74,72
Gambia,62,61,64,63,65
Georgia,59,57,45,40,38
Germany,1,1,1,2,3
Ghana,65,67,68,67,67
Greece,5,7,6,4,4
Grenada,33,32,32,31,29
Guatemala,38,37,39,33,31
Guinea,71,70,71,73,75
Guinea-Bissau,76,77,76,76,77
Guyana,53,53,54,51,50
Haiti,74,72,71,72,73
Honduras,37,35,38,33,32
Hong Kong,18,16,16,13,13
Hungary,7,8,9,5,6
Iceland,9,8,9,6,5
India,77,78,72,68,68
Indonesia,70,67,62,60,55
Iran,89,88,89,89,86
Iraq,93,93,93,94,92
Ireland,5,6,5,4,3
Israel,20,19,19,16,16
Italy,3,4,3,3,3
Jamaica,51,52,54,50,48
Japan,5,4,4,4,3
Jordan,77,78,79,76,71
Kazakhstan,59,56,60,55,52
Kenya,62,60,63,62,62
Kiribati,55,40,41,37,37
Kosovo,84,85,84,83,83
Kuwait,50,50,50,45,44
Kyrgyzstan,67,66,69,65,64
Laos,79,79,78,76,74
Latvia,11,10,10,7,7
Lebanon,85,86,86,86,83
Lesotho,59,58,60,59,57
Liberia,79,80,80,80,81
Libya,88,87,85,86,87
Liechtenstein,13,11,12,10,11
Lithuania,12,10,10,7,5
Luxembourg,4,5,4,3,2
Macao,35,32,32,30,25
Madagascar,76,75,74,73,72
Malawi,60,59,62,61,60
Malaysia,8,5,8,7,9
Maldives,54,54,56,53,50
Mali,73,73,73,74,76
Malta,8,9,7,6,4
Marshall Islands,60,41,44,39,38
Mauritania,72,72,72,73,72
Mauritius,32,30,29,27,25
Mexico,25,23,22,18,16
Micronesia,63,44,46,43,42
Moldova,40,39,45,42,41
Monaco,14,13,15,11,9
Mongolia,66,67,70,66,63
Montenegro,41,42,44,38,37
Morocco,68,69,69,65,64
Mozambique,76,76,72,74,71
Myanmar [Burma],83,85,84,81,80
Namibia,62,60,63,62,62
Nauru,56,55,58,55,54
Nepal,85,87,87,85,83
Netherlands,3,4,4,3,3
New Zealand,6,6,7,6,6
Nicaragua,42,42,44,40,39
Niger,74,75,74,74,76
Nigeria,83,83,82,84,84
North Korea,85,85,85,85,86
North Macedonia,39,38,41,37,36
Norway,4,3,4,3,4
Oman,57,56,57,54,52
Pakistan,94,94,92,93,90
Palau,62,43,47,41,41
Palestinian Territories,88,87,85,87,86
Panama,33,32,35,30,26
Papua New Guinea,58,57,60,57,55
Paraguay,34,31,34,30,24
Peru,47,31,29,22,21
Philippines,64,64,66,65,63
Poland,9,9,10,7,7
Portugal,4,5,4,4,3
Qatar,53,51,54,48,45
Romania,15,15,14,9,9
Russian Federation,40,40,42,39,39
Rwanda,79,76,73,74,69
Saint Kitts and Nevis,26,26,27,26,21
Saint Lucia,31,30,31,31,28
Samoa,37,35,37,35,33
San Marino,19,18,17,15,14
Sao Tome and Principe,73,71,70,69,68
Saudi Arabia,59,58,59,56,56
Senegal,70,71,71,72,70
Serbia,36,35,38,32,28
Seychelles,27,25,25,23,22
Sierra Leone,69,68,68,70,70
Singapore,4,2,2,2,4
Slovakia,10,10,10,7,7
Slovenia,10,10,10,7,6
Solomon Islands,52,36,37,35,31
Somalia,92,91,90,91,89
South Africa,45,46,49,44,43
South Korea,3,6,3,3,3
South Sudan,89,90,85,84,85
Spain,2,3,3,3,2
Sri Lanka,86,89,87,86,84
St. Vincent and the Grenadines,29,29,27,23,22
Sudan,89,88,87,89,88
Suriname,57,55,61,57,56
Sweden,1,2,2,3,4
Switzerland,2,3,5,4,3
Syria,91,92,91,92,91
Taiwan,30,29,32,29,27
Tajikistan,70,70,72,71,68
Tanzania,64,62,64,63,62
Thailand,56,55,57,55,51
Timor-Leste,48,48,51,46,45
Togo,73,74,74,74,75
Tonga,38,37,40,38,37
Trinidad and Tobago,27,28,29,24,23
Tunisia,65,64,65,63,62
Turkey,41,39,43,40,40
Turkmenistan,74,75,77,75,76
Tuvalu,54,37,38,36,35
Uganda,68,67,67,65,65
Ukraine,46,47,32,28,25
United Arab Emirates,28,27,24,1,1
United Kingdom,2,3,3,4,5
United States of America,4,3,4,3,3
Uruguay,24,24,26,20,17
Uzbekistan,71,70,72,70,68
Vanuatu,36,33,35,34,30
Vatican City,24,22,23,19,18
Venezuela,28,28,33,30,29
Viet Nam,75,76,78,76,72
Yemen,84,84,87,90,89
Zambia,65,65,66,64,63
Zimbabwe,67,66,66,66,66
